id,tip,cena,kategorijaVozila,kategorijaKlijenta,dodatnaUslugaId,datumOd,datumDo
15,GODISNJA_PRETPLATA,5000.0,,,,2026-01-01,2026-12-31
15,NAJAM_PO_DANU,3000.0,ECONOMY,,,2026-01-01,2026-12-31
15,NAJAM_PO_DANU,4000.0,STANDARD,,,2026-01-01,2026-12-31
15,NAJAM_PO_DANU,5500.0,FAMILY,,,2026-01-01,2026-12-31
15,NAJAM_PO_DANU,9000.0,LUXURY,,,2026-01-01,2026-12-31
15,POPUST_KLIJENTA,10.0,,STUDENT,,2026-01-01,2026-12-31
15,POPUST_KLIJENTA,15.0,,PENZIONER,,2026-01-01,2026-12-31
15,POPUST_KLIJENTA,20.0,,FIRMA,,2026-01-01,2026-12-31
15,POPUST_KLIJENTA,0.0,,BEZ_KATEGORIJE,,2026-01-01,2026-12-31
15,DODATNA_USLUGA,800.0,,,1,2026-01-01,2026-12-31
15,DODATNA_USLUGA,500.0,,,2,2026-01-01,2026-12-31
15,DODATNA_USLUGA,1000.0,,,3,2026-01-01,2026-12-31
15,DODATNA_USLUGA,1500.0,,,4,2026-01-01,2026-12-31
15,KAZNA_KASNJENJA,2000.0,,,,2026-01-01,2026-12-31
29,GODISNJA_PRETPLATA,5500.0,,,,2027-01-01,2027-12-31
29,NAJAM_PO_DANU,3300.0,ECONOMY,,,2027-01-01,2027-12-31
29,NAJAM_PO_DANU,4400.0,STANDARD,,,2027-01-01,2027-12-31
29,NAJAM_PO_DANU,6000.0,FAMILY,,,2027-01-01,2027-12-31
29,NAJAM_PO_DANU,9800.0,LUXURY,,,2027-01-01,2027-12-31
29,POPUST_KLIJENTA,10.0,,STUDENT,,2027-01-01,2027-12-31
29,POPUST_KLIJENTA,15.0,,PENZIONER,,2027-01-01,2027-12-31
29,POPUST_KLIJENTA,20.0,,FIRMA,,2027-01-01,2027-12-31
29,POPUST_KLIJENTA,0.0,,BEZ_KATEGORIJE,,2027-01-01,2027-12-31
29,DODATNA_USLUGA,900.0,,,1,2027-01-01,2027-12-31
29,DODATNA_USLUGA,600.0,,,2,2027-01-01,2027-12-31
29,DODATNA_USLUGA,1100.0,,,3,2027-01-01,2027-12-31
29,DODATNA_USLUGA,1700.0,,,4,2027-01-01,2027-12-31
29,KAZNA_KASNJENJA,2200.0,,,,2027-01-01,2027-12-31
