id,rezervacijaId,agentId,voziloId,datumIzdavanja,datumVracanjaPlanirano,datumVracanjaStvarno,kmPreuzimanje,kmVracanje
1,1,2,1,2026-05-20,2026-05-22,2026-05-22,44000,45200
2,2,3,4,2026-06-05,2026-06-08,2026-06-08,77000,79500
3,6,2,4,2026-06-14,2026-06-16,,80200,
4,7,3,6,2026-06-12,2026-06-15,,70400,
5,9,2,10,2026-04-10,2026-04-12,2026-04-13,29000,30500
6,14,3,3,2026-03-01,2026-03-03,2026-03-03,36000,38000
7,15,2,8,2026-02-10,2026-02-12,2026-02-12,20500,22000
8,16,11,12,2026-01-15,2026-01-17,2026-01-17,45500,47000
9,17,2,2,2026-05-01,2026-05-03,2026-05-05,59000,61200
10,19,11,9,2026-05-10,2026-05-12,2026-05-12,52000,54000
